,X,Y
0,0.0,0.09095824357382729
1,0.25,-0.003030035830249078
2,0.5,0.1268451680367379
3,0.75,0.2582569657891216
4,1.0,0.42859698859390627
5,1.25,0.38483665176950044
6,1.5,0.5264460414275827
7,1.75,0.3249093629660782
8,2.0,0.6280272338185987
9,2.25,0.3994150306702894
10,2.5,0.6578087554159697
11,2.75,0.6713329738113349
12,3.0,0.7966073168154524
13,3.25,0.450970691594875
14,3.5,0.8010307410515525
15,3.75,0.5878531892645418
16,4.0,0.683899225775331
17,4.25,0.6946199883214135
18,4.5,0.8173132885180984
19,4.75,0.7154606098552698
20,5.0,0.9568760969946009
21,5.25,0.7465742137940028
22,5.5,0.8355778439589607
23,5.75,0.7129056573253998
24,6.0,0.7177269507207723
25,6.25,0.5909170526397034
26,6.5,0.827359042591323
27,6.75,0.7838605404097083
28,7.0,0.6663775298049401
29,7.25,0.8082102442768094
30,7.5,0.9731194968765201
31,7.75,0.8388348575477044
32,8.0,0.7955402915388112
33,8.25,0.7631216723603433
34,8.5,0.8550693683965299
35,8.75,1.0034218191719781
36,9.0,0.840504982938402
37,9.25,0.7584575295161596
38,9.5,0.7418010550107038
39,9.75,0.9038380316479531
