,X,Y
0,0.0,0.0
1,0.25,0.1111111111111111
2,0.5,0.2
3,0.75,0.2727272727272727
4,1.0,0.3333333333333333
5,1.25,0.38461538461538464
6,1.5,0.42857142857142855
7,1.75,0.4666666666666667
8,2.0,0.5
9,2.25,0.5294117647058824
10,2.5,0.5555555555555556
11,2.75,0.5789473684210527
12,3.0,0.6
13,3.25,0.6190476190476191
14,3.5,0.6363636363636364
15,3.75,0.6521739130434783
16,4.0,0.6666666666666666
17,4.25,0.68
18,4.5,0.6923076923076923
19,4.75,0.7037037037037037
20,5.0,0.7142857142857143
21,5.25,0.7241379310344828
22,5.5,0.7333333333333333
23,5.75,0.7419354838709677
24,6.0,0.75
25,6.25,0.7575757575757576
26,6.5,0.7647058823529411
27,6.75,0.7714285714285715
28,7.0,0.7777777777777778
29,7.25,0.7837837837837838
30,7.5,0.7894736842105263
31,7.75,0.7948717948717948
32,8.0,0.8
33,8.25,0.8048780487804879
34,8.5,0.8095238095238095
35,8.75,0.813953488372093
36,9.0,0.8181818181818182
37,9.25,0.8222222222222222
38,9.5,0.8260869565217391
39,9.75,0.8297872340425532
